ax:320	ay:3372	ax:15796	gx:54	gy:-191	gz:-112
12:04:03.472 -> a/g:	ax:-96	ay:3024	ax:15052	gx:102	gy:214	gz:-242
12:04:03.506 -> a/g:	ax:492	ay:3412	ax:16184	gx:-134	gy:370	gz:-88
12:04:03.506 -> a/g:	ax:-608	ay:3136	ax:15028	gx:99	gy:-297	gz:-185
12:04:03.506 -> a/g:	ax:-32	ay:3436	ax:15812	gx:-8	gy:452	gz:-193
12:04:03.539 -> a/g:	ax:0	ay:3172	ax:15896	gx:68	gy:-260	gz:-151
12:04:03.539 -> a/g:	ax:-36	ay:3268	ax:15048	gx:-21	gy:29	gz:-138
12:04:03.573 -> a/g:	ax:32	ay:3264	ax:15732	gx:39	gy:25	gz:-204
12:04:03.573 -> a/g:	ax:140	ay:3432	ax:15472	gx:40	gy:178	gz:-130
12:04:03.573 -> a/g:	ax:20	ay:2952	ax:15640	gx:-12	gy:202	gz:-167
12:04:03.607 -> a/g:	ax:20	ay:3136	ax:15480	gx:-90	gy:-102	gz:-99
12:04:03.607 -> a/g:	ax:-252	ay:3112	ax:15688	gx:-99	gy:136	gz:-159
12:04:03.607 -> a/g:	ax:20	ay:3296	ax:15520	gx:112	gy:-124	gz:-97
12:04:03.641 -> a/g:	ax:88	ay:3036	ax:15616	gx:28	gy:336	gz:-160
12:04:03.641 -> a/g:	ax:12	ay:3312	ax:15328	gx:65	gy:-195	gz:-166
12:04:03.676 -> a/g:	ax:68	ay:2980	ax:15492	gx:-15	gy:300	gz:-177
12:04:03.676 -> a/g:	ax:52	ay:2996	ax:15372	gx:-32	gy:-94	gz:-159
12:04:03.676 -> a/g:	ax:-160	ay:3364	ax:15524	gx:32	gy:147	gz:-179
12:04:03.713 -> a/g:	ax:-24	ay:2984	ax:15504	gx:39	gy:75	gz:-155
12:04:03.713 -> a/g:	ax:-72	ay:3140	ax:15432	gx:-30	gy:27	gz:-160
12:04:03.751 -> a/g:	ax:80	ay:3272	ax:15072	gx:75	gy:-155	gz:-143
12:04:03.751 -> a/g:	ax:208	ay:2952	ax:15704	gx:-6	gy:393	gz:-169
12:04:03.751 -> a/g:	ax:276	ay:3000	ax:15596	gx:16	gy:-109	gz:-152
12:04:03.785 -> a/g:	ax:-216	ay:3232	ax:15416	gx:-38	gy:145	gz:-135
12:04:03.785 -> a/g:	ax:4	ay:3156	ax:15664	gx:53	gy:110	gz:-159
12:04:03.785 -> a/g:	ax:204	ay:3204	ax:15388	gx:3	gy:14	gz:-133
12:04:03.818 -> a/g:	ax:28	ay:3180	ax:15496	gx:16	gy:4	gz:-208
12:04:03.818 -> a/g:	ax:104	ay:3264	ax:15656	gx:-31	gy:197	gz:-165
12:04:03.853 -> a/g:	ax:24	ay:3152	ax:15428	gx:58	gy:-97	gz:-141
12:04:03.853 -> a/g:	ax:-144	ay:2984	ax:15384	gx:-38	gy:275	gz:-164
12:04:03.853 -> a/g:	ax:-80	ay:3232	ax:15660	gx:-2	gy:-20	gz:-130
12:04:03.886 -> a/g:	ax:-92	ay:3168	ax:15304	gx:56	gy:94	gz:-126
12:04:03.886 -> a/g:	ax:200	ay:3212	ax:15672	gx:-1	gy:196	gz:-127
12:04:03.886 -> a/g:	ax:68	ay:3212	ax:15388	gx:-48	gy:-31	gz:-135
12:04:03.920 -> a/g:	ax:-52	ay:3052	ax:15464	gx:49	gy:116	gz:-111
12:04:03.920 -> a/g:	ax:400	ay:3048	ax:15460	gx:5	gy:121	gz:-153
12:04:03.955 -> a/g:	ax:136	ay:3252	ax:15664	gx:-16	gy:77	gz:-125
12:04:03.955 -> a/g:	ax:100	ay:3052	ax:14960	gx:28	gy:-37	gz:-155
12:04:03.955 -> a/g:	ax:-536	ay:2820	ax:16356	gx:-92	gy:827	gz:-126
12:04:03.991 -> a/g:	ax:1020	ay:3332	ax:15140	gx:423	gy:-960	gz:-215
12:04:03.991 -> a/g:	ax:-912	ay:3580	ax:16044	gx:-441	gy:1379	gz:-396
12:04:03.991 -> a/g:	ax:104	ay:3652	ax:14992	gx:492	gy:-1273	gz:-129
12:04:04.030 -> a/g:	ax:784	ay:3164	ax:15428	gx:-284	gy:803	gz:-111
12:04:04.030 -> a/g:	ax:-676	ay:4060	ax:15100	gx:75	gy:-229	gz:-423
12:04:04.062 -> a/g:	ax:828	ay:4216	ax:15276	gx:243	gy:6	gz:-62
12:04:04.062 -> a/g:	ax:-468	ay:3960	ax:14072	gx:62	gy:216	gz:-267
12:04:04.094 -> a/g:	ax:340	ay:3992	ax:17156	gx:-112	gy:759	gz:-76
12:04:04.094 -> a/g:	ax:40	ay:4648	ax:12904	gx:612	gy:-1224	gz:13
12:04:04.094 -> a/g:	ax:508	ay:4880	ax:16420	gx:-406	gy:1509	gz:-463
12:04:04.130 -> a/g:	ax:184	ay:5584	ax:14488	gx:457	gy:-1309	gz:-1
12:04:04.130 -> a/g:	ax:-88	ay:4840	ax:14788	gx:-118	gy:812	gz:-555
12:04:04.162 -> a/g:	ax:-504	ay:5432	ax:14780	gx:282	gy:-417	gz:-930
12:04:04.162 -> a/g:	ax:68	ay:5644	ax:15384	gx:162	gy:507	gz:-660
12:04:04.162 -> a/g:	ax:-596	ay:5524	ax:14156	gx:292	gy:-431	gz:-1168
12:04:04.195 -> a/g:	ax:756	ay:6360	ax:15672	gx:191	gy:130	gz:-874
12:04:04.195 -> a/g:	ax:-412	ay:5820	ax:13128	gx:371	gy:172	gz:-843
12:04:04.230 -> a/g:	ax:344	ay:6612	ax:16796	gx:-51	gy:476	gz:-809
12:04:04.230 -> a/g:	ax:-260	ay:5928	ax:13492	gx:636	gy:-793	gz:-841
12:04:04.230 -> a/g:	ax:260	ay:6308	ax:17292	gx:-168	gy:736	gz:-1015
12:04:04.264 -> a/g:	ax:-252	ay:5720	ax:13144	gx:674	gy:-838	gz:-978
12:04:04.264 -> a/g:	ax:1088	ay:5984	ax:16976	gx:-199	gy:1106	gz:-959
12:04:04.302 -> a/g:	ax:-296	ay:6120	ax:14848	gx:519	gy:-825	gz:-1046
12:04:04.302 -> a/g:	ax:560	ay:6224	ax:15688	gx:67	gy:907	gz:-909
12:04:04.302 -> a/g:	ax:-492	ay:6436	ax:14736	gx:334	gy:-961	gz:-1076
12:04:04.336 -> a/g:	ax:-172	ay:5512	ax:14912	gx:91	gy:922	gz:-987
12:04:04.336 -> a/g:	ax:-676	ay:6044	ax:15160	gx:51	gy:-597	gz:-973
12:04:04.370 -> a/g:	ax:-240	ay:4896	ax:14836	gx:362	gy:394	gz:-921
